Year;Population
1985;8652000
1986;8527000
1987;8607700
1988;8688400
1989;8769117
1990;8880124
1991;9017415
1992;9067808
1993;9066025
1994;9066612
1995;9085457
1996;9246727
1997;9411236
1998;9604297
1999;9783242
2000;9932932
2001;10114203
2002;10269900
2003;10386903
2004;10535681
2005;10726429
2006;10923762
2007;11091428
2008;11186851
2009;11281631
2010;11503501
2011;11776764
2012;11856578
2013;11979529
2014;12108257
2015;12197596
