cld_year;week_number;wd_total;wda_total;qty_total
2004;3;18697;;4564802
2004;4;19892;;4564802
2004;5;20749;;4564802
2004;6;20511;;4564802
2004;7;21046;;4564802
2004;8;21179;;4564802
2004;9;18835;;4564802
2004;10;18872;;4564802
2004;11;17077;;4564802
2004;12;19544;;4564802
2004;13;18059;;4564802
2004;14;16205;;4564802
2004;15;16431;;4564802
2004;16;17150;;4564802
2004;17;16704;;4564802
2004;18;15798;;4564802
2004;19;11112;;4564802
2004;20;11460;;4564802
2004;21;11958;;4564802
2004;22;11235;;4564802
2004;23;9914;;4564802
2004;24;9454;;4564802
2004;25;7736;;4564802
2004;26;7496;;4564802
2004;27;6577;;4564802
2004;28;5597;;4564802
2004;29;5081;;4564802
2004;30;4967;;4564802
2004;31;4879;;4564802
2004;32;5180;;4564802
2004;33;5509;;4564802
2004;34;6057;;4564802
2004;35;6725;;4564802
2004;36;7466;;4564802
2004;37;11712;;4564802
2004;38;16500;;4564802
2004;39;21044;;4564802
2004;40;22914;;4564802
2004;41;25422;;4564802
2004;42;29118;;4564802
2004;43;29441;;4564802
2004;44;29513;;4564802
2004;45;23480;;4564802
2004;46;20401;;4564802
2004;47;23649;;4564802
2004;48;24931;;4564802
2004;49;25182;;4564802
2004;50;26375;;4564802
2004;51;22563;;4564802
2004;52;24204;;4564802
2005;1;18603;;4624083
2005;2;4972;;4624083
2005;3;19733;;4624083
2005;4;18661;;4624083
2005;5;20376;;4624083
2005;6;23120;;4624083
2005;7;25051;;4624083
2005;8;27672;;4624083
2005;9;27858;;4624083
2005;10;35464;;4624083
2005;11;25275;;4624083
2005;12;34056;;4624083
2005;13;31993;;4624083
2005;14;31677;;4624083
2005;15;28078;;4624083
2005;16;27373;;4624083
2005;17;24670;;4624083
2005;18;24956;;4624083
2005;19;20308;;4624083
2005;20;17284;;4624083
2005;21;16111;;4624083
2005;22;13758;;4624083
2005;23;12733;;4624083
2005;24;9794;;4624083
2005;25;8152;;4624083
2005;26;8244;;4624083
2005;27;7441;;4624083
2005;28;6036;;4624083
2005;29;5382;;4624083
2005;30;5354;;4624083
2005;31;5050;;4624083
2005;32;5193;;4624083
2005;33;5257;;4624083
2005;34;5785;;4624083
2005;35;6735;;4624083
2005;36;8012;;4624083
2005;37;10628;;4624083
2005;38;14582;;4624083
2005;39;19903;;4624083
2005;40;20716;;4624083
2005;41;24116;;4624083
2005;42;23838;;4624083
2005;43;26293;;4624083
2005;44;26423;;4624083
2005;45;20258;;4624083
2005;46;21428;;4624083
2005;47;19277;;4624083
