Year;Population
1985;4844200
1986;4882200
1987;4931200
1988;4986900
1989;5023506
1990;5002444
1991;5007469
1992;4986405
1993;4942891
1994;4881563
1995;4845407
1996;4820213
1997;4806641
1998;4783982
1999;4770897
2000;4741923
2001;4714844
2002;4661219
2003;4656474
2004;4624083
2005;4600000
2006;4580620
2007;4571184
2008;4568047
2009;4581854
2010;4879566
2011;4899344
2012;4953219
2013;5028000
2014;5131942
2015;5191690
